Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2020	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2019	36
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2018	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2017	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2016	41
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2015	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2014	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2013	32
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2012	36
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2011	37
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2010	20
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2009	33
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2008	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2007	16
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2006	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2005	31
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2004	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2003	34
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2002	29
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2001	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	2000	26
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1999	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1998	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1997	33
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1996	38
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1995	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1994	26
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1993	23
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1992	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1991	26
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1990	17
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1989	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1988	30
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1987	31
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1986	35
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1985	24
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1984	23
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1983	26
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1982	23
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1981	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	06 Cantabria	1980	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2022	242
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2021	236
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2020	228
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2019	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2018	213
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2017	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2016	215
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2015	224
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2014	240
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2013	210
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2012	200
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2011	182
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2010	216
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2009	221
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2008	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2007	217
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2006	194
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2005	191
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2004	218
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2003	241
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2002	220
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2001	208
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	2000	241
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1999	208
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1998	221
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1997	214
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1996	223
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1995	229
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1994	239
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1993	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1992	203
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1991	235
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1990	206
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1989	201
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1988	253
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1987	210
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1986	200
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1985	178
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1984	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1983	152
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1982	158
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1981	133
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	07 Castilla y León	1980	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2022	184
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2021	169
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	08 Castilla - La Mancha	2020	180
